name
"Avey Field State/Laurier Airport"
"Utirik Airport"
"Epps Airpark"
"Ac & R Components Heliport"
"Exit 3 Airport"
"Alpine Range Airport"
"Advent Health Altamonte Springs Heliport"
"Albert Guido Memorial Heliport"
"Avita Health System Galion Hospital Heliport"
"Osborn Airfield"
"Etowah Fields Airport"
"Iroquois Landing Seaplane Base"
"Ellis Field"
"East Field"
"OSF St Anthony's Health Center Heliport"
"Upper Chesapeake Medical Center Heliport"
"Olafson Brothers Airport"
"AT&T Heliport"
"Eagles Landing Heliport"
"AZ Minerals Corporation Airport"
"Aerostone Ranch Airport"
"Anniston AHP (Anniston Army Depot)"
"Airpark Private Airport"
"Emmanuel Airport"
"Emergency Helipad"
"Ox Meadows Airport"
"Allen Stagefield Army Heliport"
"O And G Heliport"
"Aventura Heliport"
"Oswego County At Pulaski Heliport"
"Oljato Airport"
"Ames Private Airport"
"Abc7-Tv Heliport"
"Albert Lodge Heliport"
"Ainsworth Airport"
"Ocean Reef Club Airport"
"Alcovy Airport"
"Interstate Airport"
"Alpha Hotel Airport"
"Allen Ponderosa Heliport"
"Alderson Airport"
"Air Oil Inc Nr 2 Heliport"
"Aeleron Airport"
"UM Saint Joseph Medical Center Heliport"
"Alta Sierra Airport"
"International Falls Seaplane Base"
"Era Helicopters Fourchon Helibase Heliport"
"Airhaven Airport"
"Eagle Field"
"Univ of Tennessee Medical Center Heliport"
"Alum Ridge STOLport"
"Augusta Medical Center Heliport"
"Anderson Lake Airport"
"Ozarks Community Hospital Heliport"
"Ami National Park Medical Center Heliport"
"Eureka Springs Hospital Heliport"
"Arizona Heart Hospital Heliport"
"Emory Ranch Airport"
"Exempla Good Samaritan Heliport"
"Ada Airport"
"Ott's Landing Airport"
"Alligator Drink Seaplane Base"
"Old Town Ems Heliport"
"Airnautique, Inc. Airport"
"Ayresouth Airport"
"Audubon County Memorial Hospital Heliport"
"Army Reserve Heliport"
"Ez Lope Ranch Airport"
"Unsicker Airport"
"Advocate Good Samaritan Hospital Heliport"
"Air Park Field"
"Evanston/Glenbrook Heliport"
"Abbeville Municipal Airport"
"Owen Air Park"
"Arnemann Farms Airport"
"Exxon Heliport"
"Evergreen Fourchon Heliport"
"UM Laurel Medical Center Heliport"
"Ely Bloomenson Community Hospital Heliport"
"Arvin Ranch Airport"
"Emerson Heliport"
"Albanna Aviation Airport"
"Our Community Hospital Heliport"
"Atlantic City Medical Center Heliport"
"Essex Generating Station Heliport"
"Apple Airport"
"Autolite Heliport"
"Unger Field"
"Edmond Airport"
"Ellis/Harvey Airport"
"East Oregon Cattle Company Airport"
"Ecko Field"
"Old Orchard Airport"
"Used Parts Heliport"
"Oasis Ranch Airport"
"Ira Biffle Airfield"
"Erco Field"
"Arco Ingleside Shorebase Heliport"
"Alta Vista Ranch Airport"
"Erlanger Medical Center Heliport"
"East Tennessee Children's Hospital Heliport"
"Ultralight International Ultralightport"
"Ullrich Airport"
"UT Health East Texas Carthage Hospital Heliport"
"Aerospatiale Helicopter Corp Heliport"
"Elm Creek Airpark"
"Air Columbia Heliport"
"Aurora St Luke's Medical Center Heliport"
"Aurora Lakeland Medical Center Heliport"
"Oconomowoc Airport"
"Olympia Heliport"
"Ohho Airport"
"Eds Heliport"
"Anacacho Ranch Airport"
"University of Kansas Hospital Heliport"
"Industrial Helicopters Inc. Airport"
"Ascension St Mary's Hospital Heliport"
"Eckerts Airstrip"
"One Meridian Plaza Heliport"
"Ech Stagefield Army Heliport"
"Apple 1 Heliport"
"Atterbury Field (Camp Atterbury)"
"Unity Airport"
"Arkavalley Airport"
"Omega 1 Airport"
"Osceola Regional Medical Center Heliport"
"Eastside Medical Center Heliport"
"Ascension Saint Agnes Hospital Heliport"
"Eastman Seaplane Base"
"Atlantic Field Marine Corps Outlying Field"
"Expressway Airpark"
"Over the Hill Airport"
"Earle Airpark"
"Oak Ridge Plantation Airport"
"Evergreen Heliport"
"Aeronut Park Balloonport"
"Oak Grove Marine Corps Outlying Field"
"Aubrey Mountain Airstrip"
"Allison Ranch Airport"
"East-West Paris Airport"
"Aaron's Field"
"O S Wyatt Airport"
"Isbell Ranch Airport"
"Orange Hill Airport"
"Applegate Airport"
"Arco High Island Heliport"
"Indian Path Medical Center Heliport"
"Owens Country Sausage Heliport"
"Ed Shadle Airport"
"Arrow Aviation Company Heliport"
"Oak Landing Heliport"
"Atchafalaya Flying Company Airport"
"Iuka Hospital Heliport"
"Oakdale Army Heliport"
"East Valley ER & Hospital Helipad"
"Oink Acres Airport"
"Abel Ranch Airport"
"Elmore Medical Center Heliport"
"AMITA Health Medical Center La Grange Heliport"
"Allstate South Barrington Plaza Heliport"
"Omni Mouton Cove Heliport"
"Alert Field"
"English Heliport"
"Icy Bay Airport"
"UCH-MHS Memorial Central Heliport"
"Osceola Sheriff's Office Bronson Highway Heliport"
"Ancam Antique Airfield"
"Eagle Pass Airport"
"American Cyanamid Helistop"
"Airc Helistop"
"Erickson Field"
"Arthur Airport"
"Empire Airport"
"Offshore Systems-Kenai Heliport"
"Elsanor Airport"
"Arizona State Prison Safford Heliport"
"Argyle Airport"
"Aha Quin Airport"
"On the Rocks Airport"
"Eagle Soaring Airport"
"Alameda County Parking Garage Heliport"
"UCI Medical Center Heliport"
"Aurora Regional Medical Center Heliport"
"Everitt Airport"
"Elkins Field"
"Airpark East Airport"
"Orlando Helicenter"
"Eddie Dew Memorial Airpark"
"Eagle Neck Airport"
"Union General Hospital Heliport"
"Adams Heliport"
"Aerie Airport"
"Answered Prayer Airport"
"Airlane Enterprises Airport"
"Aero-Lane Airport"
"University of Iowa Hospitals & Clinic Heliport"
"Adams Airport"
"Amy Airport"
"Alton Memorial Hospital Heliport"
"Ingersoll Heliport"
"Ellinwood Municipal Airport"
"Edwin G. Bennett Airport"
"Innis Community Health Center Heliport"
"Ardmore Airport"
"UMASS Memorial Medical Center-Univ Campus Heliport"
"Unknown Field"
"Ashman Island Seaplane Base"
"Eagle's Point & Red Barn Village Airpark"
"Eagles Ridge Airport"
"Albert Airport"
"Atwell Airport"
"Arant Airport"
"Andvik Airport"
"Idylease Helistop"
"Air Tractor Heliport"
"Oneida City Hospital Heliport"
"Erdy Farm Airport"
"Odot Heliport"
"Ickes Airport"
"Eckert Field"
"Eckhart International Airport"
"Arlington Municipal Airport"
"Eagle Air Airport"
"Oakley Municipal Airport"
"Aaron Penston Field"
"Aero Estates Airport"
"Ellamar Seaplane Base"
"Ed's Field"
"Earl L. Small Jr. Field/Stockmar Airport"
"Airpark Estates Airport"
"O Neal Field"
"University of Kansas Health System St Francis Heliport"
"Advance Materials Corp Heliport"
"Amundson Seaplane Base"
"Isbell Heliport"
"Eagles Nest Airport"
"ABC-TV Heliport"
"Eastmans Medicine Lake Seaplane Base"
"Our Lady's Heliport"
"Alstar North Heliport"
"Iron Crown Airport"
"Uniontown Hospital Heliport"
"Alpha Natural Resources LLC Heliport"
"Amita Health-Alexian Brothers Medical Center Heliport"
"Oerke Enterprises Airport"
"Alliance Airport"
"Associated Enterprises Heliport"
"Ibm Building 910 Heliport"
"Isley Field"
"ERA Helicopters Cameron Base Heliport"
"Orr Airport"
"Ely Air Park"
"Othello Community Hospital Heliport"
"Irlbeck Airport"
"Era - Morgan City Heliport"
"University Hospital Heliport"
"Anderson Airport"
"Ocean City Municipal Airport"
"Olympic Memorial Hospital Heliport"
"Eagle Roost Airpark"
"Orange County Sheriff's Office Heliport"
"AdventHealth Wesley Chapel Heliport"
"Oldfield Aero"
"Auburn Airport"
"Upair Heliport"
"Albrecht Heliport"
"O K Flying Club Inc Airport"
"A and K Heliport"
"Owyhee Reservoir State Airport"
"Island Lake Seaplane Base"
"Unity Health White County Medical Center Heliport"
"Our Lady of the Lake Regional Medical Center Heliport"
"Addison Municipal Airport"
"Icy Cape Air Force Station Airport"
"Independence Creek Airport"
"Emerald Mountain Airport"
"Ashmore Field"
"Island Health Clinic Heliport"
"Indian Hills Airpark"
"El Mirage-Village Square Airport"
"Ethnos Air Airport"
"Almena Airport"
"Ash Mountain Heliport"
"American Display Heliport"
"Inland Valley Medical Center Heliport"
"Edenway Airport"
"East Morgan County Hospital Heliport"
"Adventure Island Heliport"
"Air Orlando Heliport"
"AdventHealth DeLand Heliport"
"AdventHealth Heart of Florida Heliport"
"Atlanta Medical Center Heliport"
"Andy Fields Airport"
"Olive Hill-Sellers' Field"
"Indian Hills Flying Field"
"Indian Creek Airport"
"Illinois Department of Transportation Heliport"
"Air Park South Airport"
"Elk County Airport"
"Argonia Municipal Airport"
"Oz Airport"
"Iberia Medical Center Heliport"
"Exxon Intracoastal City Terminal Seaplane Base"
"Adams Restricted Landing Area Number 2"
"Air Logistics Galliano Heliport"
"Anderson Farm Airport"
"Aerospace Tech Center Heliport"
"Ennis Aerodrome"
"Independence Regional Health Center Heliport"
"Union Memorial Hospital Inc Heliport"
"Alexanders-Paramus Heliport"
"Old Orchard Airpark"
"Utter Field"
"Air Jordan Airport"
"Aero Lake Farm Airport"
"Alaska Regional Hospital Heliport"
"Alderman Airport"
"Egolf Airport"
"UPMC Memorial Hospital Heliport"
"UPMC Susquehanna Sunbury Heliport"
"Albert Einstein Medical Center Heliport"
"Archer Memorial Field"
"Avera Heart Hospital of South Dakota Heliport"
"Era Helicopters Sabine Base Heliport"
"El Coyote Ranch Airport"
"AMIGO For Christ Airport"
"Eagle Air Park"
"Oak Ridge Heliport"
"Athens Regional Medical Center Heliport"
"Eagle's Nest Estates Airport"
"Eagle's Landing Airport"
"Ethyl Corp Heliport"
"Airlie Airport"
"Upperville Airport"
"Uff-Da Airport"
"Indio-Faith Airport"
"Annandale Ranch Airport"
"Uvalde County Hospital Authority Heliport"
"Entrance Island Seaplane Base"
"Eureka Creek Airport"
"Eva Creek Airport"
"Indian Valley Hospital Heliport"
"Elliott Field"
"Aero Lake Estates Airport"
"Inter County Airport"
"Iota Volunteer Fire Department Heliport"
"Atlantic City Medical Center-Mainland Division Heliport"
"Au Heliport"
"Aberdeen Field"
"Old South Aerodrome"
"Oak Country Ranch Airport"
"Orange City Hospital Heliport"
"Isley Airport"
"Orr Ranch Airport"
"Ellis Agricultural Field"
"Il Dept of Corrections/Lawrence County Heliport"
"Evans Ranch Airport"
"Arend Airport"
"Orbit Heliport"
"Ellison Airport"
"Enoch Airport"
"Idlewide Heliport"
"Orlando Helicopter Adventures Heliport"
"Arnolds Airport"
"Episcopal Hospital Heliport"
"Us Army Reserve Center Heliport"
"Arnold Ranch Airport"
"Ash Mesa Heliport"
"Advent Health Orlando Heliport"
"University of Kentucky Hospital Heliport"
"University of Tennessee Lifestar Sweetwater Heliport"
"Abraham Lincoln Memorial Hosp Heliport"
"Ace Flying Airport"
"Annie Penn Hospital Heliport"
"Industry Air Park"
"Aerequus Airport"
"Arthur Municipal Airport"
"Ancient Oaks Airport"
"Avoca Airport"
"Albion Municipal Airport"
"Anthony Private Airport"
"East Alabama Medical Center Heliport"
"Aldot Complex Heliport"
"Edwards Farm Airport"
"University of Arizona Maricopa Agricultural Center Airport"
"Ina Road Heliport"
"UC Davis Medical Center Tower II Heliport"
"Estes Park Medical Center Heliport"
"Ephraim-Gibraltar Airport"
"Excelsior Springs Memorial Airport"
"Arnold Palmer Hospital Heliport"
"Indian River Memorial Hospital Heliport"
"AdventHealth Fish Memorial Hospital Heliport"
"Ascension Sacred Heart Hospital Emerald Coast Heliport"
"Erlen Airport"
"Okefenokee Heliport"
"Eden Field"
"Erie Air Park"
"Elwood Airport"
"Ottumwa Hospital Heliport"
"UnityPoint Keokuk Heliport"
"Indian Creek Ranch Airport"
"Army Aviation Support Facility Heliport"
"Illinois State Fair Heliport"
"Evanston Hospital-Golf Course Site Heliport"
"Alekat Acres Airport"
"Earp Airport"
"Upper Wasilla Lake Seaplane Base"
"Eveleigh Farms Airport"
"Eagle's Nest Airport"
"Open A-1 Ranch Airport"
"Innes Acres Airport"
"Agri Helicopter Inc. Heliport"
"Aysta Field"
"Ultra Flight Airpark"
"E E Lane Airport"
"Union Municipal Airport"
"Alamo Navajo Airport"
"Erickson Airport"
"Educational Testing Heliport"
"Inductotherm Airport"
"Aventis Pharmaceuticals Heliport"
"Arnot Ogden Hospital Heliport"
"Old Orchard Road Heliport"
"Astoria Heliport"
"Andy Barnhart Memorial Airport"
"API Heliport"
"Okarche Airport"
"Elkins Heliport"
"Ashlawn Airport"
"UPMC Jameson Heliport"
"Al Meyers Airport"
"Indian Springs Airport"
"East Side Airport"
"Intermedics Heliport"
"Oak Glen Ranch Airport"
"Augusta Airport"
"Ayres-Aicp Airport"
"Aviacres Airport"
"Angel Park Airport"
"Evergreen Hospital Heliport"
"Olson's Airport"
"Old Dairy Airport"
"Isabel Municipal Airport"
"Antique Aerodrome"
"Osterman Heliport"
"Entenmann's Heliport"
"Ashworth Airport"
"Ak Chin Community Airfield"
"University Airpark"
"Alcock Restricted Landing Area"
"UofL Health - Jewish Hospital Heliport"
"Orme School Airport"
"Ochsner St Mary Hospital Heliport"
"Aire Parque Airport"
"Inspira Medical Center, Inc / Elmer Hospital Heliport"
"Allegheny General Hospital Emergency Heliport"
"Igoe Heliport"
"Onion Crest Airpark"
"Inspiration Airport"
"E L Gruber Heliport"
"Eagle Ridge Ultralightport"
"Air Evac 30 Heliport"
"UCLA Wilshire Glendon Heliport"
"Epcot Center Ultralightport"
"Airbatco Field"
"Aero Crafter Inc Heliport"
"Ag-Air Inc Heliport"
"Aerobatic Practice Airport"
"Adventist Bolingbrook Hospital Heliport"
"Air Logistics (Venice) N Heliport"
"AT&T Center Heliport"
"Ames Field"
"Elmer Airport"
"Everidge Airport"
"Elk Creek Airport"
"Armstrong Ranch Airport"
"Oakbrook Airport"
"Al's Field"
"Airport Manatee Airport"
"El Peco Ranch Airport"
"Air Dusters Inc Airport"
"Atmautluak Airport"
"Inigok Airport"
"Aleknagik Mission Lodge Airport"
"Irwin Farms Airport"
"Ackley Municipal Airport"
"Antelope Valley Ranch Airport"
"Inyo County Sheriff Search & Rescue Heliport"
"Arrowhead Regional Medical Center Heliport"
"Owl Canyon Gliderport"
"Ambrosich Field"
"Alma Municipal Airport"
"Escape Ranch Airport"
"AU Medical Center & Children's Hospital of Georgia Heliport"
"Andrews Airport"
"Ebeneezer Airport"
"Ellsworth Municipal Hospital Heliport"
"Iowa Speciality Hospital Heliport"
"Oleo Airport"
"Escc Heliport"
"Unzicker Airport"
"Oliver Lake Seaplane Base"
"East Clear Heliport"
"University of Chicago Hospitals Heliport"
"Ouzinkie Airport"
"Amar Farms Airport"
"Ingels Aerodrome"
"Overton Private Airport"
"Enjoy Field"
"Alan B. Janssen Airport"
"Ahearn Heliport"
"Ijamsville Airport"
"Air Rahe Airport"
"University of Mississippi Medical Center Heliport"
"Arnold Field"
"A M Classics Heliport"
"Evans Airways Airport"
"Ag-Alley Airport"
"Apollo Fields Heliport"
"Orange Poultry Farm Airport"
"Austin Airport"
"Auberge Des Fleurs Airport"
"Old Portage Heliport"
"UPMC Susquehanna Lock Haven Heliport"
"Altoona Regional Health System-Bon Secours Campus Heliport"
"Ossiport Heliport"
"Abilene Regional Medical Center Heliport"
"Oliver Airport"
