id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
7028,09II,small_airport,"Gibbons Field",38,-86,880,NA,US,US-IN,Valeene,no,09II,,09II
7029,09IL,closed,"Silver Cross Hospital Heliport",42,-88,610,NA,US,US-IL,Joliet,no,,,
7030,09IN,small_airport,"Gordon Airport",41,-85,850,NA,US,US-IN,"Columbia City",no,09IN,,09IN
7031,09IS,heliport,"Swedish American Heliport",42,-89,874,NA,US,US-IL,Rockford,no,09IS,,09IS
7032,09KS,small_airport,"Coffman Airport",39,-95,970,NA,US,US-KS,Wellsville,no,09KS,,09KS
7033,09KY,heliport,"Baptist Hospital East Heliport",38,-86,531,NA,US,US-KY,Louisville,no,09KY,,09KY
7034,09LA,heliport,"Era Helicopters Fourchon Helibase Heliport",29,-90,2,NA,US,US-LA,"Golden Meadow",no,09LA,,09LA
7035,09LL,small_airport,"Pine Hill Airport",42,-89,1000,NA,US,US-IL,Capron,no,09LL,,09LL
7036,09LS,heliport,"West Feliciana Sheriff's Office Heliport",31,-91,181,NA,US,US-LA,"St Francisville",no,09LS,,09LS
7037,09MA,small_airport,"Kallander Field",42,-72,403,NA,US,US-MA,Southborough,no,09MA,,09MA
7038,09ME,small_airport,"Perrotti Skyranch Airfield",43,-71,260,NA,US,US-ME,Berwick,no,09ME,,09ME
7039,09MI,heliport,"Michigan National Guard Headquarters Heliport",43,-85,842,NA,US,US-MI,Lansing,no,09MI,,09MI
7040,09MN,closed,"W Johnson Field",45,-96,1060,NA,US,US-MN,"Hazel Run",no,,,
7041,09MO,small_airport,"Hogue Farm Airport",37,-93,1210,NA,US,US-MO,Willard,no,09MO,,09MO
7042,09N,small_airport,"Airhaven Airport",42,-74,450,NA,US,US-NY,Staatsburg,no,09N,,09N
7043,09NC,small_airport,"William Irving Lewis Airport",35,-79,310,NA,US,US-NC,Broadway,no,09NC,,09NC
7044,09NE,small_airport,"Summer Hill Farm Airport",41,-96,1250,NA,US,US-NE,Bennington,no,09NE,,09NE
7045,09NJ,heliport,"Stonebridge Farm Helistop",41,-75,100,NA,US,US-NJ,Somerville,no,09NJ,,09NJ
7046,09NY,heliport,"Spring Lake Fire Department Heliport",42,-74,254,NA,US,US-NY,Kingston,no,09NY,,09NY
7047,09OK,small_airport,"Ragtime Aerodrome",36,-96,700,NA,US,US-OK,Collinsville,no,09OK,,09OK
7048,09OR,heliport,"Mid-Columbia Medical Center Heliport",46,-121,487,NA,US,US-OR,"The Dalles",no,09OR,,09OR
7049,09PA,small_airport,"Eagle Field",41,-78,1780,NA,US,US-PA,"Port Matilda",no,09PA,,09PA
7050,09PN,heliport,"Hundley Residence Heliport",41,-75,480,NA,US,US-PA,Kintersville,no,09PN,,09PN
7051,09S,small_airport,"Sullivan Lake State Airport",49,-117,2614,NA,US,US-WA,"Metaline Falls",no,09S,,09S
7052,09TE,small_airport,"Running M Ranch Airport",32,-98,787,NA,US,US-TX,"Glen Rose",no,09TE,,09TE
7053,09TN,heliport,"Univ of Tennessee Medical Center Heliport",36,-84,924,NA,US,US-TN,Knoxville,no,09TN,,09TN
7054,09TS,small_airport,"Pitcock Rosillos Mountain Ranch Airport",29,-103,3100,NA,US,US-TX,Marathon,no,09TS,,09TS
7055,09TX,small_airport,"Smokey Mountain Ranch Airport",31,-102,2522,NA,US,US-TX,Sheffield,no,09TX,,09TX
7056,09VA,small_airport,"Alum Ridge STOLport",37,-80,2375,NA,US,US-VA,Floyd,no,09VA,,09VA
7057,09VG,heliport,"Augusta Medical Center Heliport",38,-79,1390,NA,US,US-VA,Fishersville,no,09VG,,09VG
7058,09W,heliport,"South Capitol Street Heliport",39,-77,10,NA,US,US-DC,Washington,no,,,09W
